Date,Day of the Week,Win/(Loss),Opening Range High,Opening Range Low,Daily High,Daily Low,Initial Range Size ($),Range Size (ticks),Range Size (points),First Candle Close Outside of Range Time,First Candle Close Price,First Candle Close Condition,First Candle Close Fully Outside of Open Range Time,First Fully Close Price,First Fully Close Condition,Max Distribution (%),Max Distribution/Drawdown (points),Max Distribution (Fully Outside) (%),Max Distribution/Drawdown (Fully Outside) (points),Date of Cross,Cross of Opening Range Closing Time,Cross of Opening Range Low,Cross of Opening Range Low Price,Cross of Opening Range High,Cross of Opening Range High Price
2024-03-11,Monday,Win,78.12999725341797,78.01000213623047,78.47000122070312,76.79000091552734,0.1199951171875,11.99951171875,0.001199951171875,20:35:00,78.0,Below Opening Low,21:45:00,78.06999969482422,Above Opening High,1.5757247949556776,0.012099990844726563,0.8410904190673607,0.00660003662109375,2024-03-11,21:40:00,,,Crossed Above Opening Range High,78.1500015258789
2024-03-12,Tuesday,Win,78.04000091552734,77.91999816894531,78.7300033569336,77.33999633789062,0.12000274658203125,12.000274658203125,0.0012000274658203124,21:25:00,78.05000305175781,Above Opening High,21:00:00,79.8499984741211,Above Opening High,0.8637117695688437,0.006800003051757812,0.10161542949768197,0.000800018310546875,2024-03-13,03:20:00,Crossed Below Opening Range Low,77.87000274658203,,
2024-03-13,Wednesday,Win,79.75,79.66000366210938,79.93000030517578,77.56999969482422,0.089996337890625,8.9996337890625,0.00089996337890625,20:45:00,79.76000213623047,Above Opening High,21:15:00,81.19999694824219,Above Opening High,0.21268380870293133,0.001699981689453125,0.5254670295711819,0.004200057983398437,2024-03-14,02:05:00,Crossed Below Opening Range Low,79.66000366210938,,
2024-03-14,Thursday,Win,81.11000061035156,80.91000366210938,81.62000274658203,79.63999938964844,0.1999969482421875,19.99969482421875,0.001999969482421875,20:55:00,81.12999725341797,Above Opening High,21:30:00,81.22000122070312,Above Opening High,0.6003497631401173,0.004900054931640625,0.24503423365856564,0.001999969482421875,2024-03-15,03:50:00,Crossed Below Opening Range Low,80.91000366210938,,
2024-03-17,Sunday,Loss,81.16000366210938,81.01000213623047,81.41999816894531,81.01000213623047,0.15000152587890625,15.000152587890625,0.0015000152587890626,21:20:00,81.18000030517578,Above Opening High,21:00:00,82.66000366210938,Below Opening Low,0.29476525321400665,0.0023999786376953124,1.8858701596060363,0.015300064086914063,2024-03-19,04:55:00,,,Crossed Above Opening Range High,82.80999755859375
2024-03-18,Monday,Loss,82.80000305175781,82.72000122070312,83.08999633789062,81.12999725341797,0.0800018310546875,8.00018310546875,0.000800018310546875,20:55:00,82.62999725341797,Below Opening Low,21:05:00,83.16000366210938,Above Opening High,1.848884568940135,0.015,0.8304186333163526,0.006899948120117187,2024-03-19,22:15:00,Crossed Below Opening Range Low,83.11000061035156,,
2024-03-19,Tuesday,Loss,83.12000274658203,83.12000274658203,83.8499984741211,82.38999938964844,0.0,0.0,0.0,21:05:00,83.16000366210938,Above Opening High,21:15:00,80.77999877929688,Below Opening Low,0.8228918599499726,0.006899948120117187,0.5977530626364717,0.004799957275390625,2024-03-22,04:55:00,,,Crossed Above Opening Range High,81.08999633789062
2024-03-21,Thursday,Loss,80.95999908447266,80.81999969482422,81.91999816894531,80.30000305175781,0.1399993896484375,13.99993896484375,0.001399993896484375,21:00:00,80.79000091552734,Below Opening Low,21:05:00,81.05999755859375,Above Opening High,0.6102090225995389,0.0048999786376953125,0.26855618361881783,0.00220001220703125,2024-03-25,04:25:00,Crossed Below Opening Range Low,80.81999969482422,,
2024-03-24,Sunday,Win,80.97000122070312,80.83999633789062,81.27999877929688,80.88999938964844,0.1300048828125,13.00048828125,0.001300048828125,21:00:00,81.02999877929688,Above Opening High,21:15:00,82.2300033569336,Above Opening High,0.3075787447768496,0.0025,0.3075787447768496,0.0025,2024-03-25,23:10:00,Crossed Below Opening Range Low,81.9000015258789,,
2024-03-25,Monday,Loss,82.16000366210938,81.98999786376953,82.4800033569336,80.72000122070312,0.17000579833984375,17.000579833984375,0.0017000579833984376,21:10:00,82.18000030517578,Above Opening High,21:05:00,81.11000061035156,Below Opening Low,0.36372822447587,0.003000030517578125,0.3712449706984413,0.003000030517578125,2024-03-27,07:40:00,,,Crossed Above Opening Range High,81.31999969482422
